SMID,attachements,acylation1_2C,cest_dep,fed,starved,avg,ratio,anomeric_carbon,pathway
sgnl#4,"n-acetylserotonin, anthranilic acid",NA,cest-4,0.013015349805876705,0.07048221495544735,0.04174878238066203,5.415314686634327,NA,other
tiglu#2,tiglic acid x2,tiglic_acid,cest-1.2,0.772082627478746,0.47434374684213926,0.6232131871604426,0.6143691490522458,indole,AminoAcidCatabolism
tyglas#1,tyramine ascr#1 anthranilic acid,NA,NA,7.190884977895037e-4,0.010885212514035326,0.005802150505912415,15.137514433198064,NA,other
tyglas#11,tyramine ascr#1 anthranilic acid,NA,NA,4.17879940445312e-5,0.003075060733958724,0.0015584243640016278,73.58718225818158,NA,other
tyglas#7,tyramine ascr#7 anthranilic acid,NA,NA,0.0010170093183204919,0.020406200820352285,0.010711605069336388,20.06491037275004,NA,other
tyglas#71,tyramine ascr#7 anthranilic acid,NA,NA,0.010124327105321922,0.006581873323473028,0.008353100214397474,0.6501047679517606,NA,other
tyglu#12,"tyramine, anthranilic acid, phenylacetic acid",phenylacetic_acid,cest-1.2,1.5089881596725527e-4,9.7341498222258e-4,5.621568990949176e-4,6.45077945763212,tyramine,other
tyglu#121,"tyramine, anthranilic acid, phenylacetic acid",NA,NA,0.0014490967659355404,0.005444911717699422,0.003447004241817481,3.7574521216905574,tyramine,other
tyglu#13,tyramine isovaleric acid,isovaleric_acid,NA,0.003941298761183679,0.006238558513027883,0.005089928637105781,1.5828687168983544,tyramine,AminoAcidCatabolism
tyglu#14,tyramine anthranilic acid isovaleric acid,isovaleric_acid,cest-1.2,8.294482069660581e-4,0.0014801819959684031,0.0011548151014672307,1.784538182778872,tyramine,AminoAcidCatabolism
tyglu#16,"tyramine, anthranilic acid, carboxy-benzyl",benzoic_acid,cest-1.2,0.010427215739415019,0.01378633919819159,0.012106777468803304,1.3221496075964976,tyramine,other
tyglu#18,"tyramine, pyrrolic acid",pyrrolic_acid,NA,0.001160133306413179,0.036794697360991044,0.018977415333702112,31.71592191827539,tyramine,AminoAcidCatabolism
tyglu#2,tyramine anthranilic acid,anthranilic_acid,cest-1.2,1.1979424620171166,0.3102974955389426,0.7541199787780296,0.25902537507223694,tyramine,other
tyglu#20,tyramine pyrrolic acid tiglic acid,tiglic_acid,cest-1.2,8.786187697291729e-5,0.010590417537029833,0.0053391397070013755,120.53484289089617,tyramine,AminoAcidCatabolism
tyglu#201,tyramine pyrrolic acid tiglic acid,tiglic_acid,NA,0.0013324565823000672,0.0033808153929872397,0.0023566359876436536,2.5372799668649053,tyramine,AminoAcidCatabolism
tyglu#22,tyramine pyrrolic acid isovaleric acid,pyrrolic_acid,cest-1.2,4.17879940445312e-5,9.93588017085087e-4,5.176880055648091e-4,23.776877541101253,tyramine,AminoAcidCatabolism
tyglu#24,tyramine pyrrolic acid (x2),pyrrolic_acid,cest-1.2,0.0020473923375911854,0.0037481870604239905,0.002897789699007588,1.8307126541431908,tyramine,AminoAcidCatabolism
tyglu#26,anthranilic acid tiglic acid benzoic acid,benzoic_acid,cest-1.2,0.0020473923375911854,0.0037481870604239905,0.002897789699007588,1.8307126541431908,tyramine,other
tyglu#28,tyramine pyrrolic acid benzoic acid,benzoic_acid,cest-1.2,4.17879940445312e-5,6.591821499667254e-4,3.504850720056283e-4,15.774438688401043,tyramine,other
tyglu#30,tyramine pyrrolic acid nicotinc acid,nicotinic_acid,cest-1.2,4.17879940445312e-5,0.002537548161048629,0.0012896680775465802,60.72433528023626,tyramine,AminoAcidCatabolism
tyglu#32,tyramine benzoic acid  (x2),benzoic_acid,cest-1.2,4.17879940445312e-5,7.5368883352831525e-6,2.4662441189907177e-5,0.18036013710664117,tyramine,other
tyglu#34,tyramine anthranilic acid pyrrolic acid,anthranilic_acid,cest-1.2,0.0012845488702858455,0.01651605579081703,0.00890030233055144,12.857475626553454,tyramine,other
tyglu#36,tyramine anthranilic acid hydroxybenzoic acid,hydroxybenzoic_acid,cest-1.2,0.004674766621017729,0.00298114195598247,0.0038279542885000994,0.6377092585925616,tyramine,other
tyglu#38,tyramine uraconic acid anthranilic acid,anthranilic_acid,cest-1.2,0.003551434504010308,0.00464156907645424,0.004096501790232274,1.3069561246907253,tyramine,other
tyglu#4,"tyramine, anthranilic acid (x2)",anthranilic_acid,cest-1.2,0.04312519315607688,0.045153884702535084,0.044139538929305985,1.0470419121165684,tyramine,other
tyglu#46,tyramine anthranilic acid C8:1-2OH,NA,NA,0.020904187814144905,0.058623746963063536,0.03976396738860422,2.804402040599517,tyramine,other
tyglu#6,"tyramine, anthranilic acid, nicotinic acid",nicotinic_acid,cest-1.2,0.04747620415997512,0.08085807230960042,0.06416713823478777,1.7031284143345211,tyramine,AminoAcidCatabolism
tyglu#7,tyramine tiglic acid,tiglic_acid,cest-1.2,0.012631903245143086,0.03720625324011826,0.024919078242630673,2.945419428732872,tyramine,AminoAcidCatabolism
tyglu#701,tyramine tiglic acid,tiglic_acid,NA,0.029548580990411587,0.003742678926870838,0.016645629958641214,0.12666188363107264,tyramine,AminoAcidCatabolism
tyglu#8,"tyramine, anthranilic acid, tiglic acid",tiglic_acid,cest-1.2,0.39354680431269,0.46203567569836296,0.4277912400055265,1.1740297993406028,tyramine,AminoAcidCatabolism
