observer,genotype,time_off_food_min,bends,additive,food,date,plate
JB,cest-1.2,5,4,,OP50,7/23/2021,81
JB,cest-1.2,5,4,,OP50,7/23/2021,81
JB,cest-1.2,5,3,,OP50,7/23/2021,81
JB,cest-1.2,5,4,,OP50,7/23/2021,81
JB,cest-1.2,5,7,,OP50,7/23/2021,81
JB,cest-1.2,5,3,,OP50,7/23/2021,82
JB,cest-1.2,5,4,,OP50,7/23/2021,82
JB,cest-1.2,5,2,,OP50,7/23/2021,82
JB,cest-1.2,5,3,,OP50,7/23/2021,82
JB,cest-1.2,5,3,,OP50,7/23/2021,82
JB,cest-1.2,5,2,,OP50,7/23/2021,82
JB,cest-1.2,5,4,,OP50,7/23/2021,82
JB,cest-1.2,5,5,,OP50,7/23/2021,82
JB,cest-1.2,5,3,,OP50,7/23/2021,82
JB,N2,5,7,,OP50,7/23/2021,83
JB,N2,5,6,,OP50,7/23/2021,83
JB,N2,5,4,,OP50,7/23/2021,83
JB,N2,5,3,,OP50,7/23/2021,83
JB,N2,5,4,,OP50,7/23/2021,83
JB,N2,5,5,,OP50,7/23/2021,83
JB,N2,5,5,,OP50,7/23/2021,83
JB,N2,5,6,,OP50,7/23/2021,83
JB,N2,5,6,,OP50,7/23/2021,83
JB,N2,5,4,,OP50,7/23/2021,84
JB,N2,5,4,,OP50,7/23/2021,84
JB,N2,5,5,,OP50,7/23/2021,84
JB,N2,5,4,,OP50,7/23/2021,84
JB,N2,5,3,,OP50,7/23/2021,84
JB,N2,5,4,,OP50,7/23/2021,84
JB,N2,5,5,,OP50,7/23/2021,84
JB,N2,5,5,,OP50,7/23/2021,84
JB,N2,5,5,,OP50,7/23/2021,84
JB,N2,5,4,,OP50,8/11/2021,117
JB,N2,5,3,,OP50,8/11/2021,117
JB,N2,5,4,,OP50,8/11/2021,117
JB,N2,5,4,,OP50,8/11/2021,117
JB,N2,5,3,,OP50,8/11/2021,117
JB,N2,5,3,,OP50,8/11/2021,117
JB,N2,5,3,,OP50,8/11/2021,117
JB,N2,5,3,,OP50,8/11/2021,117
JB,N2,5,5,,OP50,8/11/2021,117
JB,N2,5,4,,OP50,8/11/2021,117
JB,N2,5,5,,OP50,8/11/2021,118
JB,N2,5,3,,OP50,8/11/2021,118
JB,N2,5,3,,OP50,8/11/2021,118
JB,N2,5,5,,OP50,8/11/2021,118
JB,N2,5,8,,OP50,8/11/2021,118
JB,N2,5,3,,OP50,8/11/2021,118
JB,N2,5,3,,OP50,8/11/2021,118
JB,N2,5,4,,OP50,8/11/2021,118
JB,N2,5,5,,OP50,8/11/2021,118
JB,N2,5,2,,OP50,8/11/2021,118
JB,cest-1.2,5,3,,OP50,8/11/2021,119
JB,cest-1.2,5,3,,OP50,8/11/2021,119
JB,cest-1.2,5,4,,OP50,8/11/2021,119
JB,cest-1.2,5,3,,OP50,8/11/2021,119
JB,cest-1.2,5,4,,OP50,8/11/2021,119
JB,cest-1.2,5,3,,OP50,8/11/2021,119
JB,cest-1.2,5,3,,OP50,8/11/2021,119
JB,cest-1.2,5,3,,OP50,8/11/2021,119
JB,cest-1.2,5,2,,OP50,8/11/2021,119
JB,cest-1.2,5,5,,OP50,8/11/2021,119
JB,cest-1.2,5,2,,OP50,8/11/2021,120
JB,cest-1.2,5,1,,OP50,8/11/2021,120
JB,cest-1.2,5,1,,OP50,8/11/2021,120
JB,cest-1.2,5,2,,OP50,8/11/2021,120
JB,cest-1.2,5,2,,OP50,8/11/2021,120
JB,cest-1.2,5,3,,OP50,8/11/2021,120
JB,cest-1.2,5,3,,OP50,8/11/2021,120
JB,cest-1.2,5,4,,OP50,8/11/2021,120
JB,cest-1.2,5,2,,OP50,8/11/2021,120
JB,cest-1.2,5,5,,OP50,8/11/2021,120
JB,N2,5,4,,OP50,10/26/2021,141
JB,N2,5,4,,OP50,10/26/2021,141
JB,N2,5,5,,OP50,10/26/2021,141
JB,N2,5,2,,OP50,10/26/2021,141
JB,N2,5,5,,OP50,10/26/2021,141
JB,N2,5,3,,OP50,10/26/2021,141
JB,N2,5,5,,OP50,10/26/2021,141
JB,N2,5,6,,OP50,10/26/2021,141
JB,N2,5,3,,OP50,10/26/2021,141
JB,N2,5,3,,OP50,10/26/2021,141
JB,N2,5,3,,OP50,10/26/2021,142
JB,N2,5,3,,OP50,10/26/2021,142
JB,N2,5,2,,OP50,10/26/2021,142
