observer,genotype,time_off_food_min,bends,additive,food,date,plate,...9,...10
JB,N2,5,5,NA,OP50,2021-10-26,141,NA,NA
JB,N2,5,2,NA,OP50,2021-10-26,141,NA,NA
JB,N2,5,5,NA,OP50,2021-10-26,141,NA,NA
JB,N2,5,3,NA,OP50,2021-10-26,141,NA,NA
JB,N2,5,5,NA,OP50,2021-10-26,141,NA,NA
JB,N2,5,6,NA,OP50,2021-10-26,141,NA,NA
JB,N2,5,3,NA,OP50,2021-10-26,141,NA,NA
JB,N2,5,3,NA,OP50,2021-10-26,141,NA,NA
JB,N2,5,3,NA,OP50,2021-10-26,142,NA,NA
JB,N2,5,3,NA,OP50,2021-10-26,142,NA,NA
JB,N2,5,2,NA,OP50,2021-10-26,142,NA,NA
JB,N2,5,5,NA,OP50,2021-10-26,142,NA,NA
JB,N2,5,8,NA,OP50,2021-10-26,142,NA,NA
JB,N2,5,4,NA,OP50,2021-10-26,142,NA,NA
JB,N2,5,3,NA,OP50,2021-10-26,142,NA,NA
JB,N2,5,3,NA,OP50,2021-10-26,142,NA,NA
JB,N2,5,5,NA,OP50,2021-10-26,142,NA,NA
JB,N2,5,3,NA,OP50,2021-10-26,142,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-10-26,143,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-10-26,143,NA,NA
JB,cest-1.2,5,1,NA,OP50,2021-10-26,143,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-10-26,143,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-10-26,143,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-10-26,143,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-10-26,143,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-10-26,143,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-10-26,143,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-10-26,144,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-10-26,144,NA,NA
JB,cest-1.2,5,1,NA,OP50,2021-10-26,144,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-10-26,144,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-10-26,144,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-10-26,144,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-10-26,144,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-10-26,144,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-10-26,144,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-10-26,144,NA,NA
JB,cest-1.2,5,1,NA,OP50,2021-12-07,171,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-12-07,171,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-12-07,171,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-12-07,171,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-12-07,171,NA,NA
JB,cest-1.2,5,6,NA,OP50,2021-12-07,171,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-12-07,171,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-12-07,171,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-12-07,171,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-12-07,171,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-12-07,172,NA,NA
