observer,genotype,time_off_food_min,bends,additive,food,date,plate
JB,cest-1.2,5,2,NA,OP50,12/7/2021,171
JB,cest-1.2,5,4,NA,OP50,12/7/2021,172
JB,cest-1.2,5,7,NA,OP50,12/7/2021,172
JB,cest-1.2,5,1,NA,OP50,12/7/2021,172
JB,cest-1.2,5,6,NA,OP50,12/7/2021,172
JB,cest-1.2,5,2,NA,OP50,12/7/2021,172
JB,cest-1.2,5,4,NA,OP50,12/7/2021,172
JB,cest-1.2,5,2,NA,OP50,12/7/2021,172
JB,cest-1.2,5,4,NA,OP50,12/7/2021,172
JB,cest-1.2,5,2,NA,OP50,12/7/2021,172
JB,N2,5,8,NA,OP50,12/7/2021,173
JB,N2,5,6,NA,OP50,12/7/2021,173
JB,N2,5,4,NA,OP50,12/7/2021,173
JB,N2,5,3,NA,OP50,12/7/2021,173
JB,N2,5,5,NA,OP50,12/7/2021,173
JB,N2,5,9,NA,OP50,12/7/2021,173
JB,N2,5,4,NA,OP50,12/7/2021,173
JB,N2,5,4,NA,OP50,12/7/2021,173
JB,N2,5,2,NA,OP50,12/7/2021,173
JB,N2,5,3,NA,OP50,12/7/2021,173
JB,N2,5,2,NA,OP50,12/7/2021,174
JB,N2,5,6,NA,OP50,12/7/2021,174
JB,N2,5,5,NA,OP50,12/7/2021,174
JB,N2,5,7,NA,OP50,12/7/2021,174
JB,N2,5,2,NA,OP50,12/7/2021,174
JB,N2,5,2,NA,OP50,12/7/2021,174
JB,N2,5,2,NA,OP50,12/7/2021,174
JB,N2,5,7,NA,OP50,12/7/2021,174
JB,N2,5,3,NA,OP50,12/7/2021,174
JB,N2,5,3,NA,OP50,12/7/2021,174
JB,cest-1.2,5,7,NA,OP50,12/14/2021,177
JB,cest-1.2,5,2,NA,OP50,12/14/2021,177
JB,cest-1.2,5,5,NA,OP50,12/14/2021,177
JB,cest-1.2,5,4,NA,OP50,12/14/2021,177
JB,cest-1.2,5,2,NA,OP50,12/14/2021,177
JB,cest-1.2,5,5,NA,OP50,12/14/2021,177
JB,cest-1.2,5,1,NA,OP50,12/14/2021,177
JB,cest-1.2,5,5,NA,OP50,12/14/2021,177
JB,cest-1.2,5,3,NA,OP50,12/14/2021,177
JB,cest-1.2,5,3,NA,OP50,12/14/2021,178
JB,cest-1.2,5,4,NA,OP50,12/14/2021,178
JB,cest-1.2,5,2,NA,OP50,12/14/2021,178
JB,cest-1.2,5,2,NA,OP50,12/14/2021,178
JB,cest-1.2,5,2,NA,OP50,12/14/2021,178
JB,cest-1.2,5,4,NA,OP50,12/14/2021,178
JB,cest-1.2,5,6,NA,OP50,12/14/2021,178
JB,cest-1.2,5,2,NA,OP50,12/14/2021,178
JB,cest-1.2,5,2,NA,OP50,12/14/2021,178
JB,cest-1.2,5,4,NA,OP50,12/14/2021,178
JB,N2,5,4,NA,OP50,12/14/2021,179
JB,N2,5,6,NA,OP50,12/14/2021,179
JB,N2,5,5,NA,OP50,12/14/2021,179
JB,N2,5,6,NA,OP50,12/14/2021,179
JB,N2,5,2,NA,OP50,12/14/2021,179
JB,N2,5,3,NA,OP50,12/14/2021,179
JB,N2,5,3,NA,OP50,12/14/2021,179
JB,N2,5,2,NA,OP50,12/14/2021,179
JB,N2,5,3,NA,OP50,12/14/2021,179
JB,N2,5,4,NA,OP50,12/14/2021,179
JB,N2,5,3,NA,OP50,12/14/2021,180
JB,N2,5,6,NA,OP50,12/14/2021,180
JB,N2,5,2,NA,OP50,12/14/2021,180
JB,N2,5,2,NA,OP50,12/14/2021,180
JB,N2,5,3,NA,OP50,12/14/2021,180
JB,N2,5,1,NA,OP50,12/14/2021,180
JB,N2,5,1,NA,OP50,12/14/2021,180
JB,N2,5,3,NA,OP50,12/14/2021,180
JB,N2,5,3,NA,OP50,12/14/2021,180
JB,N2,5,3,NA,OP50,1/31/2022,185
JB,N2,5,6,NA,OP50,1/31/2022,185
JB,N2,5,4,NA,OP50,1/31/2022,185
JB,N2,5,1,NA,OP50,1/31/2022,185
JB,N2,5,5,NA,OP50,1/31/2022,185
JB,N2,5,6,NA,OP50,1/31/2022,185
JB,N2,5,5,NA,OP50,1/31/2022,185
JB,N2,5,4,NA,OP50,1/31/2022,185
JB,N2,5,2,NA,OP50,1/31/2022,185
JB,N2,5,6,NA,OP50,1/31/2022,185
JB,N2,5,1,NA,OP50,1/31/2022,186
JB,N2,5,4,NA,OP50,1/31/2022,186
JB,N2,5,4,NA,OP50,1/31/2022,186
JB,N2,5,3,NA,OP50,1/31/2022,186
JB,N2,5,5,NA,OP50,1/31/2022,186
JB,N2,5,6,NA,OP50,1/31/2022,186
JB,N2,5,2,NA,OP50,1/31/2022,186
JB,N2,5,5,NA,OP50,1/31/2022,186
JB,N2,5,4,NA,OP50,1/31/2022,186
JB,N2,5,4,NA,OP50,1/31/2022,186
JB,cest-1.2,5,3,NA,OP50,1/31/2022,187
JB,cest-1.2,5,2,NA,OP50,1/31/2022,187
JB,cest-1.2,5,1,NA,OP50,1/31/2022,187
JB,cest-1.2,5,3,NA,OP50,1/31/2022,187
JB,cest-1.2,5,3,NA,OP50,1/31/2022,187
JB,cest-1.2,5,1,NA,OP50,1/31/2022,187
JB,cest-1.2,5,6,NA,OP50,1/31/2022,187
JB,cest-1.2,5,4,NA,OP50,1/31/2022,187
JB,cest-1.2,5,3,NA,OP50,1/31/2022,187
JB,cest-1.2,5,2,NA,OP50,1/31/2022,187
JB,cest-1.2,5,1,NA,OP50,1/31/2022,188
JB,cest-1.2,5,4,NA,OP50,1/31/2022,188
JB,cest-1.2,5,4,NA,OP50,1/31/2022,188
JB,cest-1.2,5,4,NA,OP50,1/31/2022,188
JB,cest-1.2,5,3,NA,OP50,1/31/2022,188
JB,cest-1.2,5,3,NA,OP50,1/31/2022,188
JB,cest-1.2,5,2,NA,OP50,1/31/2022,188
JB,cest-1.2,5,3,NA,OP50,1/31/2022,188
JB,cest-1.2,5,3,NA,OP50,1/31/2022,188
JB,cest-1.2,5,4,NA,OP50,1/31/2022,188
JB,N2,5,4,NA,OP50,2/4/2022,189
JB,N2,5,5,NA,OP50,2/4/2022,189
JB,N2,5,4,NA,OP50,2/4/2022,189
JB,N2,5,3,NA,OP50,2/4/2022,189
JB,N2,5,3,NA,OP50,2/4/2022,189
JB,N2,5,2,NA,OP50,2/4/2022,189
JB,N2,5,3,NA,OP50,2/4/2022,189
JB,N2,5,7,NA,OP50,2/4/2022,189
JB,N2,5,2,NA,OP50,2/4/2022,189
JB,N2,5,4,NA,OP50,2/4/2022,189
JB,N2,5,4,NA,OP50,2/4/2022,190
JB,N2,5,4,NA,OP50,2/4/2022,190
JB,N2,5,1,NA,OP50,2/4/2022,190
JB,N2,5,3,NA,OP50,2/4/2022,190
JB,N2,5,2,NA,OP50,2/4/2022,190
JB,N2,5,4,NA,OP50,2/4/2022,190
JB,N2,5,4,NA,OP50,2/4/2022,190
JB,N2,5,4,NA,OP50,2/4/2022,190
JB,N2,5,6,NA,OP50,2/4/2022,190
JB,N2,5,3,NA,OP50,2/4/2022,190
JB,cest-1.2,5,6,NA,OP50,2/4/2022,191
JB,cest-1.2,5,3,NA,OP50,2/4/2022,191
JB,cest-1.2,5,3,NA,OP50,2/4/2022,191
JB,cest-1.2,5,3,NA,OP50,2/4/2022,191
JB,cest-1.2,5,2,NA,OP50,2/4/2022,191
JB,cest-1.2,5,4,NA,OP50,2/4/2022,191
JB,cest-1.2,5,2,NA,OP50,2/4/2022,191
JB,cest-1.2,5,3,NA,OP50,2/4/2022,191
JB,cest-1.2,5,5,NA,OP50,2/4/2022,191
JB,cest-1.2,5,2,NA,OP50,2/4/2022,191
JB,cest-1.2,5,4,NA,OP50,2/4/2022,192
JB,cest-1.2,5,5,NA,OP50,2/4/2022,192
JB,cest-1.2,5,5,NA,OP50,2/4/2022,192
JB,cest-1.2,5,3,NA,OP50,2/4/2022,192
